Short_Name,Duration_o,Duration_m
instance_0000000000,0.2741756439208984,0.3220412731170654
instance_0000000001,0.2802395820617676,0.3310458660125732
instance_0000000002,0.2842631340026855,0.3656296730041504
instance_0000000003,0.2815461158752441,0.3358066082000732
instance_0000000004,0.2972543239593506,0.3001179695129394
instance_0000000005,0.291558027267456,0.3212828636169433
instance_0000000006,0.2530350685119629,0.3701839447021484
instance_0000000007,0.2815477848052978,0.3822681903839111
instance_0000000008,0.3113257884979248,0.3612203598022461
instance_0000000009,0.2753810882568359,0.2991104125976562
instance_0000000010,0.2865335941314697,0.3228280544281006
instance_0000000011,0.3179402351379394,0.3716182708740234
instance_0000000012,0.2972936630249023,0.3637723922729492
instance_0000000013,0.2953579425811767,0.3280525207519531
instance_0000000014,0.3135905265808105,0.3198845386505127
instance_0000000015,0.2750532627105713,0.2995164394378662
instance_0000000016,0.340792179107666,0.3654074668884277
instance_0000000017,0.2885620594024658,0.3082180023193359
instance_0000000018,0.2775707244873047,0.3255593776702881
instance_0000000019,0.2743177413940429,0.3030734062194824
instance_0000000020,0.3028371334075928,0.3533601760864258
instance_0000000021,0.2675721645355224,0.3574817180633545
instance_0000000022,0.2505815029144287,0.2980713844299316
instance_0000000023,0.2690401077270508,0.3117523193359375
instance_0000000024,0.2727625370025635,0.3332986831665039
instance_0000000025,0.2745590209960937,0.3858976364135742
instance_0000000026,0.2622222900390625,0.3311820030212402
instance_0000000027,0.2698121070861816,0.2945077419281006
instance_0000000028,0.2815520763397217,0.2945795059204101
instance_0000000029,0.2664074897766113,0.3017306327819824
instance_0000000030,0.2752690315246582,0.2931652069091797
instance_0000000031,0.2712852954864502,0.3093206882476806
instance_0000000032,0.2825527191162109,0.3528409004211426
instance_0000000033,0.2827038764953613,0.3427863121032715
instance_0000000034,0.2895467281341553,0.3154745101928711
instance_0000000035,0.2857587337493896,0.3060736656188965
instance_0000000036,0.3044581413269043,0.2947063446044922
instance_0000000037,0.2975578308105469,0.2864885330200195
instance_0000000038,0.3115816116333008,0.3198256492614746
instance_0000000039,0.2932426929473877,0.3294010162353515
instance_0000000040,0.3426239490509033,0.3450269699096679
instance_0000000041,0.2835729122161865,0.3095180988311767
instance_0000000042,0.2360444068908691,0.2581520080566406
instance_0000000043,0.3105967044830322,0.3143436908721924
instance_0000000044,0.2865452766418457,0.3454060554504394
instance_0000000045,0.2855679988861084,0.2988924980163574
instance_0000000046,0.2915732860565185,0.32568359375
instance_0000000047,0.281313419342041,0.2976162433624267
instance_0000000048,0.2691068649291992,0.3182482719421386
instance_0000000049,0.27437424659729,0.325294017791748
instance_0000000050,0.2873239517211914,0.3448176383972168
instance_0000000051,0.304579496383667,0.3651149272918701
instance_0000000052,0.2821817398071289,0.3178586959838867
instance_0000000053,0.2680420875549316,0.3530735969543457
instance_0000000054,0.3220741748809814,0.3100156784057617
instance_0000000055,0.2878065109252929,0.3172366619110107
instance_0000000056,0.3046693801879883,0.2845902442932129
instance_0000000057,0.2725679874420166,0.3132979869842529
instance_0000000058,0.3066401481628418,0.313638687133789
instance_0000000059,0.2742578983306885,0.3072757720947265
instance_0000000060,0.2572407722473144,0.2989904880523681
instance_0000000061,0.2622487545013428,0.29888916015625
instance_0000000062,0.274179458618164,0.3225665092468261
instance_0000000063,0.2597720623016357,0.3156635761260986
instance_0000000064,0.2712085247039795,0.2888505458831787
instance_0000000065,0.295543909072876,0.311819314956665
instance_0000000066,0.2838630676269531,0.3316500186920166
instance_0000000067,0.2884581089019775,0.3221371173858642
instance_0000000068,0.2815024852752685,0.3111140727996826
instance_0000000069,0.2743699550628662,0.3438315391540527
instance_0000000070,0.2844202518463135,0.3150408267974853
instance_0000000071,0.2947747707366943,0.2981576919555664
instance_0000000072,0.2622601985931396,0.3236455917358398
instance_0000000073,0.3045632839202881,0.3235421180725097
instance_0000000074,0.2742421627044678,0.3404541015625
instance_0000000075,0.2852551937103271,0.3410737514495849
instance_0000000076,0.2677469253540039,0.2657239437103271
instance_0000000077,0.2570335865020752,0.3320121765136719
instance_0000000078,0.282757043838501,0.313058853149414
instance_0000000079,0.2822911739349365,0.2936389446258545
instance_0000000080,0.294722318649292,0.31524658203125
instance_0000000081,0.2945497035980224,0.3480572700500488
instance_0000000082,0.250737190246582,0.3081409931182861
instance_0000000083,0.2660481929779053,0.3177664279937744
instance_0000000084,0.2617828845977783,0.3204555511474609
instance_0000000085,0.2741565704345703,0.3398399353027344
instance_0000000086,0.2646968364715576,0.2863543033599853
instance_0000000087,0.2822434902191162,0.327542781829834
instance_0000000088,0.309391975402832,0.3352639675140381
instance_0000000089,0.3192157745361328,0.3117456436157226
instance_0000000090,0.2892429828643799,0.3094422817230224
instance_0000000091,0.3146059513092041,0.3744876384735107
instance_0000000092,0.3481080532073974,0.277705430984497
instance_0000000093,0.2812597751617431,0.2920041084289551
instance_0000000094,0.289046049118042,0.3151166439056396
instance_0000000095,0.3325939178466797,0.3500282764434814
instance_0000000096,0.3496401309967041,0.3177492618560791
instance_0000000097,0.3529443740844726,0.3084008693695068
instance_0000000098,0.3002407550811767,0.3452746868133545
instance_0000000099,0.2562479972839355,0.3171734809875488
