Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000000086,22.0,6.463706128373017e-18,0.8700003623962402,0.0019324994636731,-0.1392616507861918,22.0,6.454422853035812e-18,0.8984489440917969,0.0020004006523676,-0.1070853978657526
instance_0000000094,23.0,5.667387932686303e-18,0.8847486972808838,0.0016304091406736,-0.122451632172586,23.0,5.9607276501946365e-18,1.0260910987854004,0.0016380307635099,0.0257565330461394
instance_0000000027,23.0,5.723481079329727e-18,0.982651948928833,0.0015953404575901,-0.0175002917983306,22.0,6.074051816671864e-18,0.8360655307769775,0.001584654709969,-0.1790482828726019
instance_0000003000,23.0,5.470939489043774e-18,0.8727829456329346,0.0016211756018532,-0.136068384488124,23.0,5.855604964102465e-18,0.9522769451141356,0.0016042730270372,-0.0488993777631769
instance_0000000054,22.0,6.0592764519603466e-18,0.844994068145752,0.0017972099238125,-0.1684256715954588,22.0,5.984350787252135e-18,1.1231729984283447,0.0018600167631288,0.1161577141396433
instance_0000000029,23.0,5.139131487263059e-18,0.9147224426269532,0.0014939886297778,-0.0891346011152298,24.0,5.241346646378811e-18,0.9536428451538086,0.0015390007279931,-0.047466053779144
instance_0000000093,23.0,4.7833106221425126e-18,0.8633706569671631,0.0013312258608029,-0.1469111818828426,23.0,5.119885577964677e-18,0.909519910812378,0.0013123604520911,-0.0948383892213906
instance_0000000035,23.0,6.0355595605479936e-18,0.8756270408630371,0.0016332073319052,-0.1328150311435037,22.0,5.697060658025827e-18,0.8193409442901611,0.0016779931622443,-0.1992549883605422
instance_0000000069,22.0,4.8784386721918526e-18,0.8596494197845459,0.0013336981209056,-0.1512306242603277,22.0,4.788213032744174e-18,0.8696351051330566,0.0013232293150217,-0.1396815747017115
instance_0000000022,22.0,6.027784511016146e-18,0.844998836517334,0.0015888295357986,-0.1684200285284744,22.0,5.786228750897883e-18,0.9010002613067628,0.0015694666377972,-0.1042497313552366
instance_0000000064,22.0,7.153363813710765e-18,0.8379974365234375,0.0019378771197167,-0.1767402375459769,23.0,7.077572572187002e-18,1.201340675354004,0.0019461428269329,0.1834381626192429
instance_0000000050,23.0,4.67267289065071e-18,0.8816790580749512,0.0013372202597128,-0.1259271689292561,23.0,5.436257746734873e-18,0.9460759162902832,0.0013418516212546,-0.0554324633717879
instance_0000000044,23.0,5.3152099981332644e-18,0.9817006587982178,0.0014277266096624,-0.0184688452049237,22.0,5.159725405660133e-18,0.996739625930786,0.0014073982531993,-0.0032657006697073
