Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000005064,22.0,8.98935600104667e-18,1.095088243484497,0.0025323996038949,0.0908349476785283,22.0,8.241997895056953e-18,0.9430751800537108,0.0009114376385274,-0.058609275185339
instance_0000005076,23.0,8.660192864883904e-18,1.1188490390777588,0.0025831337316557,0.1123005132386362,22.0,8.015297205193649e-18,0.9603126049041748,0.0007838046592109,-0.0404964174177169
instance_0000005013,22.0,2.8356900495660416e-17,1.050797462463379,0.0097152316212102,0.0495493639646826,22.0,2.2076841584532658e-17,1.013313055038452,0.0020851514534731,0.0132252150745767
instance_0000005053,23.0,1.4949062442039444e-17,1.1021809577941897,0.0045199912326292,0.0972909057746515,23.0,1.0763030827283455e-17,0.9106082916259766,0.0008210654887369,-0.0936424504497549
instance_0000005026,22.0,1.1701346259494368e-17,1.0827429294586182,0.0037349633631139,0.0794975709214488,21.0,9.930993139373594e-18,0.9392194747924804,0.0006799747377929,-0.0627060946116979
instance_0000005029,22.0,2.5581392716005677e-17,1.1070809364318848,0.00920862418102,0.1017267643617878,23.0,1.9581432744451564e-17,1.0401616096496582,0.0018153369170924,0.0393760949748029
instance_0000005062,23.0,2.0048999176830657e-17,1.2189714908599854,0.0069336627193414,0.1980074629081615,22.0,1.6012266279798024e-17,0.93861722946167,0.0016874145602715,-0.0633475192362081
instance_0000005082,22.0,7.868797964571485e-18,1.0955243110656738,0.0021133026826029,0.0912330715603903,22.0,6.4877978286646735e-18,1.102362871170044,0.0008366431712296,0.0974559407119272
instance_0000005023,23.0,1.2413673518000518e-17,1.3012635707855225,0.0038408708330387,0.263335769930525,23.0,1.0986174864527101e-17,1.1558310985565186,0.0007361517023881,0.1448196510601744
instance_0000005086,23.0,9.97923261054273e-18,1.0968708992004397,0.0028001415658678,0.0924614890444229,22.0,7.741472005898783e-18,1.1178643703460691,0.0006274115572327,0.1114200528353041
instance_0000005092,22.0,1.1470594430575396e-17,1.0017056465148926,0.0032525740360982,0.001704193551802,22.0,9.711612693364028e-18,1.0665371417999268,0.0007746798915006,0.0644170842018362
