Name,Iteration_Count,Error_Final,Duration,Error_Initial,Model Flag,Duration_Log
instance_0000000000_info_m.npy,14.0,1.0548970581013257e-13,0.32204127311706543,50.09435436034839,m,-1.1330755642695567
instance_0000000000_info_o.npy,13.0,1.1055021292214102e-13,0.27417564392089844,206.01948002298255,o,-1.2939863417623538
instance_0000000001_info_m.npy,13.0,1.0488293170930286e-13,0.33104586601257324,89.8040939749792,m,-1.1054983451909182
instance_0000000001_info_o.npy,13.0,9.488207007910051e-14,0.2802395820617676,166.72827664302406,o,-1.2721103914522551
instance_0000000002_info_m.npy,15.0,1.3287945401403038e-13,0.3656296730041504,47.05402142164616,m,-1.0061342802116384
instance_0000000002_info_o.npy,13.0,1.2591380372705838e-13,0.28426313400268555,231.9498147881571,o,-1.2578549416047502
instance_0000000003_info_m.npy,13.0,8.8835457105553e-14,0.33580660820007324,52.41632600040397,m,-1.0912198555565262
instance_0000000003_info_o.npy,13.0,8.434306078150264e-14,0.28154611587524414,159.36720000022777,o,-1.267459022882816
instance_0000000004_info_m.npy,13.0,9.188999706749883e-14,0.30011796951293945,89.5787647820255,m,-1.203579649911464
instance_0000000004_info_o.npy,13.0,9.04881898186698e-14,0.2972543239593506,158.83669041607706,o,-1.2131671969759168
instance_0000000005_info_m.npy,13.0,1.18190194023516e-13,0.32128286361694336,79.25048210858506,m,-1.1354333488082027
instance_0000000005_info_o.npy,13.0,1.1274212667919459e-13,0.29155802726745605,191.06896604025673,o,-1.2325162286199216
instance_0000000006_info_m.npy,15.0,1.5799607906184949e-13,0.37018394470214844,105.7064806767436,m,-0.9937552490372693
instance_0000000006_info_o.npy,13.0,1.392264547103004e-13,0.2530350685119629,206.97337056888165,o,-1.374227189140974
instance_0000000007_info_m.npy,14.0,1.5407824420806177e-13,0.38226819038391113,151.93233859866416,m,-0.9616328476429302
instance_0000000007_info_o.npy,13.0,2.3632591820204563e-13,0.28154778480529785,220.70728572280373,o,-1.267453095167912
instance_0000000008_info_m.npy,14.0,2.332325993801102e-13,0.3612203598022461,284.4635425945149,m,-1.0182670919120198
instance_0000000008_info_o.npy,14.0,1.7108068112366018e-13,0.3113257884979248,256.6982846344415,o,-1.1669153636617593
instance_0000000009_info_m.npy,13.0,9.388253378357934e-14,0.29911041259765625,76.40138975072384,m,-1.206942500854048
instance_0000000009_info_o.npy,13.0,8.355757061950525e-14,0.27538108825683594,161.23312059513964,o,-1.289599365136854
instance_0000000010_info_m.npy,14.0,1.336026971092804e-13,0.3228280544281006,74.26079410227662,m,-1.130635436734202
instance_0000000010_info_o.npy,13.0,1.243359326349761e-13,0.2865335941314697,219.4138983294593,o,-1.2498994926980231
instance_0000000011_info_m.npy,14.0,1.7270398023844468e-13,0.37161827087402344,76.53498968297181,m,-0.9898881051294668
instance_0000000011_info_o.npy,14.0,1.6535644627031387e-13,0.31794023513793945,238.76258414875187,o,-1.1458918536826612
